City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,colonia,50.9333,6.95,278.12,91,75,1.03,DE,1707356900
162,selfoss,63.9331,-20.9971,262.62,83,4,4.78,IS,1707356900
163,san antonio,29.4241,-98.4936,292.21,73,40,8.75,US,1707356627
164,usinsk,65.9939,57.5281,263.75,90,99,2.68,RU,1707356901
165,portland,45.5234,-122.6762,282.47,80,27,0.45,US,1707356760
166,saint-philippe,-21.3585,55.7679,298.92,87,100,5.57,RE,1707356901
167,stanley,54.868,-1.6985,271.36,95,0,0.51,GB,1707356887
168,payyannur,12.1,75.2,296.27,63,51,1.5,IN,1707356901
169,vila do maio,15.1333,-23.2167,296.59,72,0,4.9,CV,1707356901
170,souillac,-20.5167,57.5167,299.45,88,40,3.09,MU,1707356901
171,utrik,11.2278,169.8474,299.54,81,100,9.69,MH,1707356687
172,magherafelt,54.7536,-6.6066,274.73,79,100,2.63,GB,1707356901
173,lazaro cardenas,17.9583,-102.2,297.93,78,25,2.73,MX,1707356901
174,muslyumovo,55.3033,53.1947,260.71,92,100,3.44,RU,1707356901
175,minas de marcona,-15.2119,-75.1103,292.85,93,99,3.61,PE,1707356902
176,okhotsk,59.3833,143.3,252.16,77,95,4.56,RU,1707356902
177,port sudan,19.6175,37.2164,293.82,63,10,3.47,SD,1707356902
178,eyl,7.9803,49.8164,296.84,75,41,5.44,SO,1707356902
179,laojunmiao,39.8333,97.7333,266.97,44,70,1.55,CN,1707356902
180,happy valley-goose bay,53.3168,-60.3315,266.32,63,75,0.0,CA,1707356720
181,preobrazheniye,42.9019,133.9064,270.02,42,0,3.06,RU,1707356902
182,berdigestyakh,62.0989,126.6992,241.19,97,98,1.94,RU,1707356902
183,kapa'a,22.0752,-159.319,301.14,70,20,6.69,US,1707356902
184,fort bragg,35.139,-79.006,279.34,67,0,0.45,US,1707356902
185,sur,22.5667,59.5289,294.27,64,100,1.83,OM,1707356902
186,borba,-4.3878,-59.5939,300.13,77,100,0.38,BR,1707356903
187,ta`u,-14.2336,-169.5144,301.46,79,100,9.26,AS,1707356903
188,tura,25.5198,90.2201,287.89,39,0,1.24,IN,1707356903
189,susuman,62.7833,148.1667,243.84,100,98,0.63,RU,1707356903
190,pasuquin,18.3328,120.6177,300.12,78,20,2.06,PH,1707356903
191,ishigaki,24.3448,124.1572,290.22,94,75,7.2,JP,1707356903
192,polyarnyy,69.1989,33.4478,250.66,100,87,3.63,RU,1707356903
193,bereket,39.2446,55.5154,283.44,43,15,2.77,TM,1707356903
194,irbit,57.6705,63.071,264.46,95,100,3.54,RU,1707356903
195,port lincoln,-34.7333,135.8667,293.03,62,7,5.3,AU,1707356903
196,padang,-0.9492,100.3543,302.18,73,91,0.12,ID,1707356903
197,cookeville,36.1628,-85.5016,286.59,53,0,2.06,US,1707356903
198,zaterechnyy,44.7931,45.2097,279.06,66,100,4.33,RU,1707356903
199,vakhrushi,58.6847,50.0261,258.37,98,100,1.78,RU,1707356904
200,aykhal,66.0,111.5,246.74,100,100,1.78,RU,1707356904
201,st. john's,47.5649,-52.7093,271.3,93,100,5.66,CA,1707356723
202,shakiso,5.75,38.9167,288.18,66,57,1.6,ET,1707356904
203,jedlicze,49.7175,21.6489,276.18,96,100,2.29,PL,1707356904
204,pisco,-13.7,-76.2167,297.18,88,0,7.72,PE,1707356652
205,kingston,17.997,-76.7936,296.68,69,20,10.29,JM,1707356676
206,tarakan,3.3,117.6333,299.87,89,75,1.03,ID,1707356904
207,kundiawa,-6.0167,144.9667,296.61,70,100,1.51,PG,1707356904
208,atafu village,-8.5421,-172.5159,301.47,81,100,8.06,TK,1707356894
209,tyukhtet,56.5389,89.3011,261.85,83,56,4.29,RU,1707356904
210,yelizovo,53.1873,158.3805,266.37,52,20,2.0,RU,1707356904
211,miles city,46.4083,-105.8406,273.69,100,100,2.06,US,1707356904
212,sol'-iletsk,51.1631,54.9918,267.16,96,100,6.37,RU,1707356905
213,lodja,-3.4833,23.4333,294.02,98,100,0.98,CD,1707356905
214,isanlu-itedoijowa,8.2667,5.8333,296.79,23,51,1.13,NG,1707356905
215,lovington,32.944,-103.3485,282.69,48,55,1.34,US,1707356905
216,kerikeri,-35.2268,173.9474,298.25,59,29,3.84,NZ,1707356905
217,vila velha,-20.3297,-40.2925,300.12,93,20,2.57,BR,1707356905
218,olavarria,-36.8927,-60.3225,296.65,81,54,5.16,AR,1707356905
219,ponta delgada,37.7333,-25.6667,291.59,82,40,10.29,PT,1707356905
220,puerto baquerizo moreno,-0.9,-89.6,298.84,83,70,4.93,EC,1707356905
221,greenville,35.6127,-77.3663,278.12,78,0,2.06,US,1707356642
222,novo aripuana,-5.1206,-60.3797,299.41,81,93,0.61,BR,1707356905
223,el bolson,-41.9667,-71.5167,283.26,69,100,2.36,AR,1707356905
224,coxen hole,16.3244,-86.5366,296.75,64,75,1.03,HN,1707356906
225,gizo,-8.103,156.8419,302.17,77,100,6.9,SB,1707356906
226,kuraymah,18.55,31.85,287.98,20,2,4.1,SD,1707356906
227,kabwe,-14.4469,28.4464,290.34,95,77,1.39,ZM,1707356906
228,wynyard,-41.0,145.7167,291.87,59,1,3.27,AU,1707356906
229,la sarre,48.8002,-79.1996,273.7,94,100,2.17,CA,1707356906
230,garoua,9.3,13.4,294.88,22,8,0.45,CM,1707356906
231,lichinga,-13.3128,35.2406,292.2,77,0,3.13,MZ,1707356906
232,piton saint-leu,-21.2196,55.3151,297.21,78,100,1.03,RE,1707356906
233,lewistown,40.5992,-77.5714,276.02,84,0,0.0,US,1707356906
234,constantia,44.1833,28.65,282.53,72,100,4.69,RO,1707356906
235,altai,46.3722,96.2583,255.79,71,0,1.31,MN,1707356906
236,arauco,-37.2463,-73.3175,287.74,64,100,4.0,CL,1707356906
237,zhangye,38.9342,100.4517,269.25,49,6,2.82,CN,1707356906
238,dzhambeyty,50.2536,52.595,274.28,99,100,9.03,KZ,1707356906
239,humaita,-7.5061,-63.0208,297.91,96,97,0.99,BR,1707356906
240,waddan,29.1614,16.139,285.45,35,0,1.76,LY,1707356906
241,bikenibeu village,1.3673,173.1241,302.13,89,75,4.12,KI,1707356725
242,levuka,50.1834,-105.4011,270.99,97,100,4.85,CA,1707356907
243,newman,37.3138,-121.0208,282.34,87,84,0.89,US,1707356907
244,oranjemund,-28.55,16.4333,290.48,87,33,3.03,NA,1707356724
245,moa,20.6569,-74.9403,294.36,82,53,5.18,CU,1707356907
246,san antonio de pale,-1.4014,5.6325,300.89,78,18,1.93,GQ,1707356907
247,petropavlovsk-kamchatsky,53.0452,158.6483,265.62,80,20,2.0,RU,1707356907
248,weno,7.4515,151.8468,303.12,74,100,6.69,FM,1707356907
249,manokwari,-0.8667,134.0833,301.12,75,94,2.12,ID,1707356907
250,bamboo flat,11.7,92.7167,297.2,94,49,0.51,IN,1707356907
251,bria,6.5423,21.9863,293.31,34,20,1.65,CF,1707356907
252,revda,56.801,59.9303,254.02,100,99,0.2,RU,1707356907
253,bayanhongor,46.7167,100.1167,247.62,77,5,1.34,MN,1707356907
254,baharly,38.4362,57.4316,283.5,42,90,1.94,TM,1707356907
255,saldanha,-33.0117,17.9442,290.18,85,20,4.48,ZA,1707356907
256,goderich,43.7501,-81.7165,277.33,70,100,2.57,CA,1707356746
257,kristiansund,63.1115,7.732,270.51,68,100,3.09,NO,1707356908
258,asparuhovo,43.3915,25.1255,283.32,64,100,2.33,BG,1707356908
259,murashi,59.3999,48.9615,261.16,96,100,0.74,RU,1707356908
260,slavyanka,42.8633,131.3847,268.76,51,1,1.62,RU,1707356908
261,safi,32.1667,-8.8333,286.8,39,57,2.47,MA,1707356908
262,ibiza,38.9088,1.433,289.78,64,0,5.81,ES,1707356908
263,anadyr,64.75,177.4833,256.43,85,75,9.0,RU,1707356895
264,lompoc,34.6391,-120.4579,284.7,85,100,6.26,US,1707356741
265,camana,-16.6228,-72.7111,298.04,85,75,1.26,PE,1707356908
266,ancud,-41.8697,-73.8203,284.74,77,89,3.29,CL,1707356908
267,ilha de mocambique,-15.0342,40.7358,299.17,87,64,3.23,MZ,1707356908
268,tidjikja,18.5564,-11.4271,293.7,10,0,5.72,MR,1707356908
269,badger,64.8,-147.5333,258.29,81,0,0.0,US,1707356908
270,gunjur,13.2019,-16.7339,298.19,57,0,1.03,GM,1707356909
271,kuhmo,64.1333,29.5167,243.09,100,97,0.88,FI,1707356909
272,santiago del estero,-27.7951,-64.2615,301.05,62,100,3.18,AR,1707356909
273,eduardo castex,-35.915,-64.2945,299.58,58,10,7.25,AR,1707356645
274,valdivia,-39.8142,-73.2459,289.2,57,100,2.27,CL,1707356840
275,birobidzhan,48.8,132.95,258.05,79,5,1.25,RU,1707356909
276,huarmey,-10.0681,-78.1522,298.24,81,56,3.43,PE,1707356909
277,neiafu,-18.65,-173.9833,304.53,66,20,4.12,TO,1707356909
278,prince george,53.9166,-122.753,271.84,90,100,2.06,CA,1707356886
279,naze,28.3667,129.4833,284.66,81,100,5.58,JP,1707356909
280,garachico,28.7781,-17.7646,291.2,52,0,1.03,ES,1707356909
281,saudarkrokur,65.7461,-19.6394,257.85,95,59,3.42,IS,1707356909
282,hilo,19.7297,-155.09,298.86,78,75,3.09,US,1707356909
283,sittwe,20.15,92.9,294.64,80,4,4.96,MM,1707356781
284,masina,-4.3836,15.3914,297.34,90,94,0.48,CD,1707356909
285,trinity beach,-16.7888,145.6968,305.38,74,75,2.06,AU,1707356909
286,nova olinda do norte,-3.8881,-59.0942,300.47,72,100,0.9,BR,1707356909
287,lensk,60.7253,114.9278,245.84,99,61,0.21,RU,1707356910
288,saint augustine beach,29.8505,-81.2654,284.82,87,0,4.63,US,1707356910
289,nioki,-2.7167,17.6833,296.54,83,96,0.91,CD,1707356910
290,sault ste. marie,46.5168,-84.3333,275.31,82,0,2.57,CA,1707356878
291,aripuana,-9.1667,-60.6333,297.66,86,90,0.64,BR,1707356910
292,champerico,14.3,-91.9167,299.6,64,98,1.74,GT,1707356910
293,cabedelo,-6.9811,-34.8339,302.52,81,94,3.71,BR,1707356910
294,takahagi,36.7167,140.7167,283.25,54,70,1.32,JP,1707356910
295,kut chap,17.4257,102.5669,294.03,28,0,2.03,TH,1707356910
296,darazo,10.9938,10.4118,289.01,29,32,3.1,NG,1707356910
297,la passe,45.5549,-0.8967,285.36,90,100,5.57,FR,1707356910
298,hobyo,5.3505,48.5268,298.83,80,83,7.61,SO,1707356910
299,villa gesell,-37.2639,-56.973,295.96,93,100,5.81,AR,1707356910
300,imbituba,-28.24,-48.6703,300.29,93,55,2.11,BR,1707356910
301,llallagua,-18.4167,-66.6333,280.78,79,100,1.43,BO,1707356911
302,matias romero,16.8833,-95.0333,290.6,86,0,2.69,MX,1707356911
303,chernyshevskiy,63.0128,112.4714,236.21,100,54,0.6,RU,1707356911
304,sarnia,42.9787,-82.4041,276.45,80,100,2.57,CA,1707356832
305,thinadhoo,0.5333,72.9333,301.33,74,94,5.53,MV,1707356898
306,goose creek,32.981,-80.0326,280.87,73,0,2.57,US,1707356911
307,susanville,40.4163,-120.653,274.15,96,100,0.0,US,1707356911
308,sisimiut,66.9395,-53.6735,259.45,93,100,6.96,GL,1707356911
309,vila franca do campo,37.7167,-25.4333,291.42,99,99,8.62,PT,1707356739
310,uchiza,-8.4592,-76.4633,295.55,93,66,1.17,PE,1707356911
311,bocas del toro,9.3333,-82.25,294.29,77,100,4.51,PA,1707356911
312,zhosaly,45.4878,64.0781,272.67,94,89,7.72,KZ,1707356911
313,buritizeiro,-17.3511,-44.9622,294.79,96,100,0.58,BR,1707356911
314,ivanteyevka,55.9711,37.9208,260.43,95,99,2.24,RU,1707356911
315,taltal,-25.4,-70.4833,295.11,79,29,1.21,CL,1707356911
316,ouahigouya,13.5828,-2.4216,293.5,14,5,4.34,BF,1707356911
317,quellon,-43.1167,-73.6167,283.87,86,49,1.47,CL,1707356911
318,xinyuan,37.3,99.0,258.32,84,13,2.63,CN,1707356911
319,princeville,45.7668,-61.2985,270.71,90,100,1.79,CA,1707356912
320,tucume,-6.51,-79.8583,300.07,64,96,4.2,PE,1707356912
321,gweru,-19.45,29.8167,293.03,63,4,2.0,ZW,1707356912
322,liezen,47.5667,14.2333,278.52,85,100,1.35,AT,1707356912
323,birao,10.2849,22.7882,291.81,23,45,2.65,CF,1707356912
324,letlhakane,-21.4167,25.5833,297.37,51,76,0.15,BW,1707356912
325,haiku-pauwela,20.9219,-156.3051,299.4,55,20,11.32,US,1707356912
326,al ghayzah,16.2079,52.176,294.34,39,8,3.71,YE,1707356912
327,gorontalo,0.5412,123.0595,303.64,63,100,1.24,ID,1707356912
328,sathyamangalam,11.5167,77.25,295.01,61,98,1.19,IN,1707356912
329,ilhabela,-23.7781,-45.3581,297.99,89,87,2.79,BR,1707356912
330,palangkaraya,-2.2,113.8333,302.35,75,88,0.8,ID,1707356913
331,farafangana,-22.8167,47.8333,297.03,91,86,3.13,MG,1707356913
332,smirnovo,54.5125,69.4222,268.16,91,100,9.47,KZ,1707356913
333,katabu,-4.9333,122.5167,301.78,76,96,3.3,ID,1707356899
334,paramonga,-10.6667,-77.8333,298.19,81,30,3.24,PE,1707356913
335,gaspe,48.8334,-64.4819,267.1,92,0,0.0,CA,1707356762
336,isola di capo rizzuto,38.96,17.0933,285.08,57,23,3.51,IT,1707356913
337,east london,-33.0153,27.9116,292.82,59,0,4.16,ZA,1707356721
338,jianshui,23.6363,102.8264,289.07,58,0,2.09,CN,1707356913
339,mszczonow,51.9742,20.5208,275.49,80,100,4.17,PL,1707356913
340,baruun-urt,46.6806,113.2792,250.29,99,98,3.79,MN,1707356913
341,island harbour,50.724,-1.2758,280.33,95,100,5.36,GB,1707356913
342,scarborough,54.2797,-0.4044,274.07,87,90,1.25,GB,1707356777
343,sierra grande,-41.606,-65.3557,293.36,28,62,1.73,AR,1707356913
344,rumuruti,0.267,36.5389,287.61,84,3,2.72,KE,1707356913
345,saint-joseph,-21.3667,55.6167,298.36,85,89,4.59,RE,1707356914
